episode,reward,agent_loss,time
1.0,15.0,474.2943115234375,1634723858.7444444
2.0,-17.0,-53.32914733886719,1634723860.1267526
3.0,-2.0,-1777.15771484375,1634723861.4090285
4.0,19.0,2030.4176025390625,1634723862.621817
5.0,3.0,2139.004638671875,1634723863.8849695
6.0,5.0,-719.7069091796875,1634723865.117396
7.0,6.0,1662.957275390625,1634723866.42859
8.0,8.0,2856.84130859375,1634723867.684074
9.0,23.0,1871.2392578125,1634723868.867686
10.0,11.0,-1228.786865234375,1634723870.1440008
11.0,13.0,86.27445983886719,1634723871.3795257
12.0,16.0,-469.57940673828125,1634723872.6064694
13.0,13.0,-1659.8994140625,1634723873.8675258
14.0,30.0,3788.46630859375,1634723875.0569496
15.0,19.0,1896.0015869140625,1634723876.3339243
16.0,-1.0,-1451.90576171875,1634723877.5937567
17.0,-1.0,-2020.175537109375,1634723878.9459047
18.0,22.0,1257.130859375,1634723880.2068822
19.0,12.0,-1593.0614013671875,1634723881.441877
20.0,17.0,1127.1961669921875,1634723882.6918948
21.0,13.0,-367.6303405761719,1634723883.9552367
22.0,16.0,-66.05912780761719,1634723885.2401397
23.0,1.0,-1639.7862548828125,1634723886.4998033
24.0,0.0,-2109.74072265625,1634723887.7404408
25.0,19.0,1136.546875,1634723888.8896413
26.0,26.0,1267.0986328125,1634723890.1255584
27.0,9.0,-714.6010131835938,1634723891.412818
28.0,10.0,-23.065017700195312,1634723892.714586
29.0,21.0,1446.444580078125,1634723893.9509714
30.0,13.0,35.523536682128906,1634723895.199373
31.0,11.0,-249.75543212890625,1634723896.435685
32.0,17.0,2564.6162109375,1634723897.6726792
33.0,22.0,-9.185608863830566,1634723898.9440985
34.0,12.0,-111.81613159179688,1634723900.2163227
35.0,11.0,-825.01123046875,1634723901.5562108
36.0,-2.0,-2140.220458984375,1634723902.895258
37.0,14.0,-387.67181396484375,1634723904.1983314
38.0,-3.0,1278.1796875,1634723905.5835342
39.0,24.0,949.2466430664062,1634723906.7901726
40.0,13.0,-921.4469604492188,1634723908.0235784
41.0,17.0,477.64166259765625,1634723909.2673783
42.0,26.0,112.6841049194336,1634723910.5621867
43.0,9.0,190.7915802001953,1634723911.8547087
44.0,36.0,2045.1634521484375,1634723913.0172992
45.0,-7.0,-2124.0498046875,1634723914.3845332
46.0,27.0,2663.74365234375,1634723915.5646281
47.0,20.0,844.9830932617188,1634723916.753224
48.0,19.0,-44.4277458190918,1634723918.0626657
49.0,21.0,824.7789306640625,1634723919.3016598
50.0,5.0,-884.6083374023438,1634723920.6164324
51.0,14.0,1042.6099853515625,1634723921.8741422
52.0,15.0,1574.225830078125,1634723923.1379004
53.0,23.0,1553.21435546875,1634723924.3898225
54.0,20.0,27.859249114990234,1634723925.6779575
55.0,13.0,745.0067749023438,1634723927.0423021
56.0,2.0,1986.3521728515625,1634723928.3359027
57.0,10.0,-552.244384765625,1634723929.6442647
58.0,-11.0,-618.0704956054688,1634723931.0347369
59.0,16.0,-99.91732788085938,1634723932.3901873
60.0,25.0,656.9234619140625,1634723933.7037327
61.0,18.0,565.9508056640625,1634723935.056959
62.0,15.0,-2.7999143600463867,1634723936.299444
63.0,7.0,-155.10794067382812,1634723937.5112886
