episode,reward,agent_loss,time
1.0,7.0,482.08404541015625,1634635486.7228155
2.0,-25.0,-1595.38037109375,1634635493.408397
3.0,-9.0,-804.2186279296875,1634635499.936002
4.0,-8.0,-282.7222900390625,1634635506.3050234
5.0,22.0,1445.720947265625,1634635512.5145144
6.0,15.0,864.362060546875,1634635518.812683
7.0,-5.0,-381.5221862792969,1634635525.6297257
8.0,3.0,462.8898620605469,1634635532.1909885
9.0,-3.0,-378.4148864746094,1634635538.822887
10.0,21.0,1451.877685546875,1634635544.9570956
11.0,11.0,733.188232421875,1634635551.147902
12.0,11.0,745.6041870117188,1634635557.4252226
13.0,23.0,1578.6605224609375,1634635563.433072
14.0,25.0,1656.76953125,1634635569.6078157
15.0,33.0,2097.537109375,1634635575.4536633
16.0,15.0,917.1237182617188,1634635581.666706
17.0,13.0,829.56298828125,1634635587.8553758
18.0,18.0,1286.89697265625,1634635594.110146
19.0,15.0,1091.8338623046875,1634635600.3189847
20.0,24.0,1653.7646484375,1634635606.4855542
21.0,26.0,1545.8602294921875,1634635612.4587765
22.0,31.0,1618.886962890625,1634635618.3201857
23.0,21.0,1222.240234375,1634635624.40384
24.0,2.0,56.14631271362305,1634635630.8126657
25.0,27.0,1466.3341064453125,1634635636.6777048
26.0,19.0,878.1456298828125,1634635642.5385904
27.0,18.0,898.6597900390625,1634635648.5325403
28.0,28.0,1649.326904296875,1634635654.563366
29.0,34.0,2163.126953125,1634635660.4882
30.0,35.0,2249.6171875,1634635666.5561557
31.0,25.0,1575.965087890625,1634635672.8759432
32.0,37.0,2227.1083984375,1634635678.72792
33.0,27.0,1803.77783203125,1634635684.8156595
34.0,30.0,2095.65380859375,1634635690.9601016
35.0,37.0,2268.81787109375,1634635696.9248538
36.0,36.0,2102.37890625,1634635702.868633
37.0,40.0,2073.77490234375,1634635708.6454234
38.0,6.0,214.97415161132812,1634635714.835629
39.0,29.0,1933.21630859375,1634635720.6177258
40.0,23.0,1554.86474609375,1634635726.542744
41.0,46.0,2582.71142578125,1634635732.114768
42.0,42.0,2590.5380859375,1634635737.9087915
43.0,40.0,2160.2822265625,1634635743.5564258
44.0,31.0,1893.267822265625,1634635749.632447
45.0,24.0,1480.205078125,1634635755.5544865
46.0,51.0,2893.124755859375,1634635761.2069438
47.0,44.0,2463.46142578125,1634635766.9079754
48.0,43.0,2237.4326171875,1634635772.5580344
49.0,47.0,2718.888671875,1634635778.2588327
50.0,47.0,2593.126953125,1634635784.1258807
51.0,44.0,2541.02294921875,1634635789.7564511
52.0,50.0,2623.34814453125,1634635795.5261734
53.0,32.0,1685.6422119140625,1634635801.4204462
54.0,51.0,2838.40478515625,1634635807.1798625
55.0,61.0,3369.014892578125,1634635812.6949396
56.0,45.0,2413.4296875,1634635818.4307005
57.0,44.0,2359.618408203125,1634635824.1433744
58.0,37.0,1921.4859619140625,1634635829.8438597
59.0,52.0,2819.320556640625,1634635835.3895807
60.0,68.0,3419.774169921875,1634635840.7140722
61.0,52.0,2775.0107421875,1634635846.3393538
62.0,38.0,2009.8292236328125,1634635851.9746227
63.0,46.0,2173.468505859375,1634635857.3899362
64.0,43.0,2236.7373046875,1634635863.2755268
65.0,52.0,2518.043212890625,1634635868.681959
66.0,45.0,2285.28466796875,1634635874.2399623
67.0,60.0,2803.955810546875,1634635879.6839952
68.0,54.0,2692.59521484375,1634635885.2652385
69.0,74.0,3531.74365234375,1634635890.349237
70.0,68.0,3183.387451171875,1634635895.6040041
71.0,53.0,2584.546142578125,1634635901.0929632
72.0,46.0,2227.37060546875,1634635906.656829
73.0,51.0,2459.94873046875,1634635912.3691845
74.0,67.0,3018.888427734375,1634635917.7846925
75.0,64.0,3060.80712890625,1634635923.1358633
76.0,51.0,2632.5390625,1634635928.807873
77.0,64.0,2841.816650390625,1634635934.122726
78.0,68.0,3226.492431640625,1634635939.381962
79.0,56.0,2733.68359375,1634635944.9610474
80.0,77.0,3541.746337890625,1634635950.0331624
