episode,reward,agent_loss
1.0,7.0,511.37994384765625
2.0,-3.0,-176.09201049804688
3.0,-14.0,-932.554443359375
4.0,-32.0,-2122.193359375
5.0,-13.0,-1129.201416015625
6.0,-2.0,-32.318443298339844
7.0,-9.0,-786.5181884765625
8.0,-1.0,53.893333435058594
9.0,2.0,195.85150146484375
10.0,1.0,-55.072078704833984
11.0,3.0,41.239471435546875
12.0,1.0,-125.52938079833984
13.0,6.0,499.31414794921875
14.0,-5.0,-71.75982666015625
15.0,-8.0,-684.4057006835938
16.0,7.0,540.1820678710938
17.0,13.0,907.5450439453125
18.0,-5.0,-381.2003173828125
19.0,7.0,412.54443359375
20.0,25.0,1622.873779296875
21.0,-7.0,-391.8136901855469
22.0,5.0,203.2289276123047
23.0,7.0,259.95050048828125
24.0,11.0,517.0811767578125
25.0,7.0,410.6422119140625
26.0,16.0,1114.9013671875
27.0,39.0,2383.2216796875
28.0,19.0,1033.476318359375
29.0,5.0,237.61097717285156
30.0,29.0,1854.737548828125
31.0,43.0,2437.09521484375
32.0,29.0,1729.5250244140625
33.0,23.0,1563.587158203125
34.0,18.0,1024.52197265625
35.0,14.0,883.841064453125
36.0,24.0,1418.775634765625
37.0,32.0,2043.364990234375
38.0,15.0,1013.803466796875
39.0,23.0,1363.07568359375
40.0,24.0,1398.04638671875
41.0,27.0,1676.816650390625
42.0,46.0,2574.52783203125
43.0,45.0,2631.04736328125
44.0,39.0,2028.528076171875
45.0,41.0,2294.79052734375
46.0,28.0,1567.129638671875
47.0,48.0,2743.77783203125
48.0,37.0,2162.45703125
49.0,52.0,2609.31494140625
50.0,27.0,1382.9730224609375
51.0,52.0,2740.6572265625
52.0,39.0,2061.88525390625
53.0,41.0,2546.133056640625
54.0,44.0,2182.02490234375
55.0,32.0,1580.2608642578125
56.0,44.0,2393.2685546875
57.0,39.0,1947.759033203125
58.0,40.0,2256.425048828125
59.0,58.0,3016.48486328125
60.0,50.0,2664.524658203125
61.0,48.0,2440.024658203125
62.0,59.0,3254.849365234375
63.0,49.0,2608.77197265625
64.0,62.0,2965.978515625
65.0,55.0,2780.36328125
66.0,57.0,2803.8095703125
67.0,60.0,2913.69970703125
68.0,62.0,2995.7978515625
69.0,69.0,3276.306640625
70.0,60.0,3098.571044921875
71.0,60.0,2985.8828125
72.0,47.0,2388.94873046875
73.0,62.0,2921.151123046875
74.0,76.0,3332.75
75.0,51.0,2443.21044921875
76.0,56.0,2674.71044921875
77.0,49.0,2598.4072265625
78.0,49.0,2525.9765625
79.0,74.0,3495.48095703125
80.0,68.0,3495.16552734375
81.0,75.0,3449.69140625
82.0,68.0,3030.976806640625
83.0,68.0,3372.87060546875
84.0,58.0,2502.957275390625
85.0,77.0,3571.8896484375
86.0,59.0,2414.77099609375
87.0,60.0,2737.2548828125
88.0,60.0,2760.2685546875
89.0,62.0,3008.37841796875
90.0,64.0,2997.62841796875
91.0,80.0,3609.722412109375
92.0,65.0,2987.91455078125
93.0,62.0,2799.36669921875
94.0,64.0,2775.27587890625
95.0,59.0,2874.8447265625
96.0,72.0,3331.331787109375
97.0,64.0,2785.61474609375
98.0,68.0,2912.41162109375
99.0,55.0,2710.557373046875
100.0,70.0,3192.049560546875
101.0,65.0,2701.841796875
102.0,68.0,2881.48046875
103.0,64.0,2901.790771484375
104.0,65.0,2772.058837890625
105.0,78.0,3529.40625
106.0,63.0,2863.140625
107.0,69.0,3011.98681640625
108.0,73.0,3089.4228515625
109.0,73.0,3233.447021484375
110.0,71.0,2891.10302734375
111.0,78.0,3034.720947265625
112.0,68.0,2924.0078125
113.0,62.0,2678.86474609375
114.0,71.0,3146.34619140625
115.0,72.0,3028.5341796875
116.0,79.0,3498.321533203125
117.0,75.0,3610.88330078125
118.0,83.0,3210.353271484375
119.0,73.0,2950.4306640625
120.0,67.0,2693.80126953125
121.0,83.0,3232.916748046875
122.0,74.0,3124.055908203125
123.0,76.0,2933.29736328125
124.0,82.0,3370.94873046875
125.0,76.0,2870.484375
126.0,68.0,2913.149658203125
127.0,78.0,2931.791015625
128.0,85.0,3295.04296875
129.0,84.0,3052.76953125
130.0,82.0,3196.0400390625
131.0,70.0,2848.832763671875
132.0,70.0,2557.7412109375
133.0,66.0,2707.77392578125
134.0,84.0,3187.74462890625
135.0,74.0,2910.577392578125
136.0,80.0,2769.82861328125
137.0,80.0,2827.400390625
138.0,90.0,3297.820556640625
139.0,63.0,2440.9384765625
140.0,90.0,3096.78125
141.0,72.0,2599.570068359375
142.0,81.0,2595.4150390625
143.0,84.0,2596.93603515625
144.0,83.0,3038.42333984375
145.0,78.0,2526.747314453125
146.0,81.0,2783.6923828125
147.0,88.0,2947.42626953125
148.0,78.0,2658.0673828125
149.0,74.0,2352.626220703125
150.0,93.0,2861.146240234375
151.0,72.0,2321.86474609375
152.0,76.0,2385.94580078125
153.0,82.0,2433.04931640625
154.0,87.0,2574.9228515625
155.0,84.0,2573.03515625
156.0,96.0,2951.0048828125
157.0,78.0,2237.313232421875
158.0,84.0,2285.80126953125
159.0,81.0,2354.63330078125
160.0,98.0,2638.73583984375
161.0,91.0,2245.458984375
162.0,78.0,2245.32080078125
163.0,98.0,2741.8193359375
164.0,84.0,2633.304931640625
165.0,90.0,2554.75146484375
166.0,82.0,2325.28955078125
167.0,98.0,2580.75830078125
168.0,90.0,2486.599609375
169.0,92.0,2238.62353515625
170.0,96.0,2293.224853515625
171.0,93.0,2296.76904296875
172.0,80.0,2239.543701171875
173.0,94.0,2438.277587890625
174.0,89.0,2085.98779296875
175.0,96.0,2228.10693359375
176.0,92.0,2204.5908203125
177.0,90.0,2306.350830078125
178.0,86.0,2564.65625
179.0,98.0,2799.360107421875
180.0,88.0,2269.74560546875
181.0,90.0,2402.3740234375
182.0,96.0,2107.20068359375
183.0,90.0,1949.140869140625
184.0,85.0,2017.112060546875
185.0,96.0,2209.73681640625
186.0,89.0,2066.8681640625
187.0,90.0,1946.352294921875
